"Lap","Time","Gap to lead","Average MPH","Pos","Tyre (%)","Fuel (L)"
"START","Super soft tyres / 170 litres of fuel","",""
"1","1:40.140","+ 0:01.995","78.14","3"," 94"," 167.9"
"2","1:35.533","+ 0:03.322","81.91","3"," 88"," 165.8"
"3","1:35.077","+ 0:04.243","82.3","3"," 83"," 163.7"
"4","1:34.503","+ 0:05.414","82.8","3"," 78"," 161.6"
"5","1:33.988","+ 0:05.844","83.25","3"," 73"," 159.5"
"6","1:33.779","+ 0:06.380","83.44","3"," 68"," 157.4"
"7","1:33.872","+ 0:06.627","83.36","3"," 64"," 155.3"
"8","1:34.350","+ 0:07.949","82.93","3"," 60"," 153.2"
"9","1:34.216","+ 0:09.159","83.05","3"," 56"," 151.1"
"10","1:34.116","+ 0:09.667","83.14","3"," 52"," 149"
"11","1:33.896","+ 0:09.902","83.33","2"," 49"," 146.9"
"12","1:50.063","+ 0:11.445","71.09","4"," 99"," 144.8"
"PIT","3 seconds / Medium tyres","",""
"13","1:37.710","+ 0:15.534","80.08","4"," 97"," 142.7"
"14","1:32.713","+ 0:14.658","84.4","4"," 94"," 140.6"
"15","1:32.390","+ 0:15.254","84.69","4"," 91"," 138.5"
"16","1:31.553","+ 0:15.918","85.47","4"," 89"," 136.4"
"17","1:32.748","+ 0:18.046","84.36","4"," 86"," 134.3"
"18","1:32.082","+ 0:19.466","84.98","3"," 83"," 132.2"
"19","1:31.827","+ 0:20.722","85.21","3"," 81"," 130.1"
"20","1:31.384","+ 0:22.380","85.62","3"," 78"," 128"
"21","1:31.366","+ 0:24.103","85.64","3"," 76"," 125.9"
"22","1:30.641","+ 0:25.000","86.33","3"," 74"," 123.8"
"23","1:30.090","+ 0:25.113","86.86","3"," 71"," 121.7"
"24","1:29.202","+ 0:24.040","87.72","3"," 69"," 119.6"
"25","1:30.256","+ 0:24.193","86.69","3"," 67"," 117.5"
"26","1:30.314","+ 0:24.589","86.64","3"," 65"," 115.4"
"27","1:30.113","+ 0:24.550","86.83","3"," 63"," 113.3"
"28","1:29.878","+ 0:24.886","87.06","3"," 61"," 111.2"
"29","1:30.031","+ 0:24.659","86.91","3"," 59"," 109.1"
"30","1:30.131","+ 0:23.657","86.82","3"," 57"," 107"
"31","1:30.335","+ 0:22.192","86.62","3"," 55"," 104.9"
"32","1:30.922","+ 0:22.168","86.06","3"," 53"," 102.8"
"33","1:30.965","+ 0:16.202","86.02","3"," 51"," 100.7"
"34","1:30.035","+ 0:15.252","86.91","3"," 49"," 98.6"
"35","1:45.757","+ 0:24.660","73.99","4"," 99"," 96.5"
"PIT","3 seconds / Medium tyres","",""
"36","1:31.962","+ 0:30.320","85.08","4"," 97"," 94.4"
"37","1:27.704","+ 0:32.117","89.22","4"," 94"," 92.3"
"38","1:27.746","+ 0:34.213","89.17","4"," 91"," 90.2"
"39","1:27.017","+ 0:35.156","89.92","4"," 88"," 88.1"
"40","1:26.709","+ 0:36.017","90.24","4"," 86"," 86"
"41","1:26.496","+ 0:37.167","90.47","3"," 83"," 83.9"
"42","1:26.825","+ 0:38.928","90.12","3"," 81"," 81.8"
"43","1:26.525","+ 0:39.989","90.43","3"," 78"," 79.7"
"44","1:26.184","+ 0:40.698","90.79","3"," 76"," 77.6"
"45","1:25.659","+ 0:41.385","91.35","3"," 74"," 75.5"
"46","1:26.070","+ 0:41.693","90.91","3"," 71"," 73.4"
