"Lap","Time","Gap to lead","Average MPH","Pos","Tyre (%)","Fuel (L)"
"47","1:25.230","+ 0:41.081","91.81","3"," 69"," 71.3"
"48","1:25.488","+ 0:40.963","91.53","3"," 67"," 69.2"
"49","1:25.358","+ 0:40.734","91.67","3"," 65"," 67.1"
"50","1:25.647","+ 0:39.948","91.36","3"," 63"," 65"
"51","1:25.341","+ 0:38.917","91.69","3"," 61"," 62.9"
"52","1:25.396","+ 0:37.578","91.63","3"," 59"," 60.8"
"53","1:25.709","+ 0:36.581","91.3","3"," 57"," 58.7"
"54","1:25.822","+ 0:34.504","91.17","3"," 55"," 56.6"
"55","1:25.797","+ 0:31.838","91.2","3"," 53"," 54.5"
"56","1:25.534","+ 0:14.615","91.48","3"," 51"," 52.4"
"57","1:40.537","+ 0:28.378","77.83","4"," 99"," 50.3"
"PIT","3 seconds / Medium tyres","",""
"58","1:26.797","+ 0:32.632","90.15","4"," 97"," 48.2"
"59","1:23.857","+ 0:34.734","93.31","4"," 94"," 46.1"
"60","1:23.375","+ 0:36.533","93.85","4"," 91"," 44"
"61","1:23.539","+ 0:38.248","93.67","3"," 88"," 41.9"
"62","1:22.393","+ 0:39.330","94.97","3"," 86"," 39.8"
"63","1:23.014","+ 0:41.040","94.26","3"," 83"," 37.7"
"64","1:22.546","+ 0:42.010","94.79","3"," 81"," 35.6"
"65","1:22.669","+ 0:43.375","94.65","3"," 78"," 33.5"
"66","1:22.507","+ 0:44.461","94.84","3"," 76"," 31.4"
"67","1:21.893","+ 0:44.950","95.55","3"," 74"," 29.3"
"68","1:22.179","+ 0:45.440","95.22","3"," 71"," 27.2"
"69","1:21.902","+ 0:31.957","95.54","3"," 69"," 25.1"
"70","1:21.748","+ 0:30.283","95.72","3"," 67"," 23"
"71","1:21.739","+ 0:32.840","95.73","3"," 65"," 20.9"
"72","1:22.123","+ 0:35.284","95.28","3"," 63"," 18.7"
"73","1:21.441","+ 0:36.876","96.08","3"," 61"," 16.7"
"74","1:22.284","+ 0:39.860","95.09","3"," 58"," 14.6"
"75","1:22.529","+ 0:42.888","94.82","3"," 57"," 12.4"
"76","1:22.260","+ 0:45.567","95.13","3"," 55"," 10.3"
"77","1:22.721","+ 0:48.320","94.59","3"," 53"," 8.3"
"78","1:22.683","+ 0:50.553","94.63","3"," 51"," 6.1"
"79","1:22.436","+ 0:52.492","94.92","3"," 49"," 4"
