"Lap","Time","Gap to lead","Average KPH","Pos","Tyre (%)","Fuel (L)"
"START","Super soft tyres","",""
"1","1:52.887","+ 0:01.997","150.71","4","-","-"
"2","1:48.003","+ 0:02.355","157.53","4","-","-"
"3","1:47.649","+ 0:02.517","158.05","4","-","-"
"4","1:46.995","+ 0:02.263","159.01","4","-","-"
"5","1:47.730","+ 0:02.606","157.93","4","-","-"
"6","1:47.752","+ 0:02.515","157.90","5","-","-"
"7","1:48.139","+ 0:02.719","157.33","5","-","-"
"8","1:47.743","+ 0:04.960","157.91","4","-","-"
"9","2:06.253","+ 0:24.677","134.76","5","-","-"
"PIT","3 seconds / Medium tyres","",""
"10","1:55.027","+ 0:35.123","147.91","6","-","-"
"11","1:44.733","+ 0:35.351","162.45","6","-","-"
"12","1:44.629","+ 0:27.891","162.61","6","-","-"
"13","1:43.832","+ 0:26.914","163.86","6","-","-"
"14","1:43.895","+ 0:26.087","163.76","6","-","-"
"15","1:43.785","+ 0:25.376","163.93","6","-","-"
"16","1:43.091","+ 0:23.520","165.03","5","-","-"
"17","1:42.836","+ 0:17.461","165.44","5","-","-"
"18","1:41.765","+ 0:17.140","167.19","4","-","-"
"19","1:42.705","+ 0:17.679","165.66","4","-","-"
"20","1:42.902","+ 0:18.684","165.34","4","-","-"
"21","1:42.570","+ 0:20.046","165.87","4","-","-"
"22","1:42.640","+ 0:06.564","165.76","4","-","-"
"23","1:43.361","+ 0:04.114","164.60","4","-","-"
"24","1:42.806","+ 0:04.197","165.49","4","-","-"
"25","1:42.842","+ 0:06.977","165.43","5","-","-"
"26","1:43.111","+ 0:09.345","165.00","5","-","-"
"27","1:43.286","+ 0:12.816","164.72","5","-","-"
"28","1:44.149","+ 0:18.075","163.36","5","-","-"
"29","1:58.672","+ 0:38.027","143.37","5","-","-"
"PIT","3 seconds / Medium tyres","",""
"30","1:48.339","+ 0:47.698","157.04","6","-","-"
"31","1:38.544","+ 0:47.940","172.65","6","-","-"
"32","1:38.111","+ 0:47.820","173.41","6","-","-"
"33","1:37.786","+ 0:47.222","173.99","6","-","-"
"34","1:37.077","+ 0:45.920","175.26","6","-","-"
"35","1:38.296","+ 0:31.620","173.09","6","-","-"
"36","1:37.858","+ 0:23.532","173.86","6","-","-"
"37","1:37.221","+ 0:24.404","175.00","5","-","-"
"38","1:37.290","+ 0:25.263","174.88","5","-","-"
"39","1:37.148","+ 0:26.139","175.13","5","-","-"
"40","1:37.036","+ 0:27.393","175.33","5","-","-"
"41","1:37.523","+ 0:28.753","174.46","5","-","-"
"42","1:37.493","+ 0:30.806","174.51","5","-","-"
"43","1:37.447","+ 0:33.102","174.59","5","-","-"
"44","1:36.801","+ 0:34.889","175.76","5","-","-"
"45","1:38.173","+ 0:37.907","173.30","5","-","-"
"46","1:37.782","+ 0:40.592","174.00","5","-","-"
"47","1:38.266","+ 0:29.484","173.14","5","-","-"
"48","1:38.524","+ 0:24.773","172.68","5","-","-"
"49","1:53.076","+ 0:44.181","150.46","6","-","-"
"PIT","3 seconds / Super soft tyres","",""
"50","1:40.450","+ 0:51.032","169.37","6","-","-"
"51","1:32.426","+ 0:49.533","184.08","6","-","-"
"52","1:32.805","+ 0:48.793","183.33","6","-","-"
"53","1:33.047","+ 0:48.785","182.85","5","-","-"
"54","1:33.789","+ 0:49.931","181.40","5","-","-"
"55","1:34.502","+ 0:51.300","180.03","5","-","-"
"56","1:33.924","+ 0:52.586","181.14","5","-","-"
"57","1:34.948","+ 0:59.855","179.19","5","-","-"
"58","1:35.312","+ 1:02.867","178.50","5","-","-"
"59","1:35.385","+ 1:05.744","178.37","5","-","-"
