"Lap","Time","Gap to lead","Average KPH","Pos","Tyre (%)","Fuel (L)"
"START","Medium tyres / 200 litres of fuel","",""
"1","1:56.850","+ 0:05.763","145.60","6"," 94"," 196.7"
"2","1:52.971","+ 0:10.075","150.60","6"," 89"," 193.5"
"3","1:52.698","+ 0:16.243","150.97","6"," 85"," 190.2"
"4","1:52.165","+ 0:22.438","151.68","6"," 80"," 186.9"
"5","1:51.660","+ 0:28.687","152.37","6"," 75"," 183.6"
"6","1:51.247","+ 0:34.741","152.94","6"," 71"," 180.4"
"7","1:50.936","+ 0:41.343","153.36","6"," 66"," 177.1"
"8","1:51.355","+ 0:49.023","152.79","6"," 62"," 173.8"
"9","1:51.151","+ 0:55.925","153.07","6"," 58"," 170.6"
"10","1:50.726","+ 1:02.326","153.65","6"," 54"," 167.3"
"11","1:50.671","+ 0:53.446","153.73","6"," 50"," 164"
"12","1:50.392","+ 0:57.370","154.12","6"," 47"," 160.8"
"13","1:50.416","+ 1:02.779","154.09","6"," 44"," 157.5"
"14","1:50.487","+ 1:08.588","153.99","6"," 41"," 154.2"
"15","2:03.801","+ 1:26.564","137.43","6"," 100"," 151"
"PIT","3 seconds / Medium tyres","",""
"16","1:55.706","+ 1:40.071","147.04","6"," 94"," 147.7"
"17","1:45.867","+ 1:44.082","160.71","6"," 89"," 144.4"
"18","1:45.477","+ 1:47.446","161.30","6"," 85"," 141.2"
"19","1:45.699","+ 1:51.666","160.96","6"," 80"," 137.9"
"20","1:45.172","+ 1:55.760","161.77","6"," 75"," 134.6"
"21","1:45.343","+ 2:00.137","161.51","6"," 70"," 131.3"
"22","1:44.903","+ 2:04.684","162.18","6"," 65"," 128.1"
"23","1:45.478","+ 2:09.446","161.30","6"," 61"," 124.8"
"24","1:45.136","+ 2:14.263","161.82","6"," 57"," 121.5"
"25","1:44.333","+ 2:18.731","163.07","6"," 53"," 118.3"
"26","1:44.792","+ 2:22.892","162.36","6"," 49"," 115"
"27","1:44.748","+ 2:12.714","162.42","6"," 45"," 111.7"
"28","1:45.166","+ 2:11.454","161.78","6"," 42"," 108.5"
"29","1:44.767","+ 2:17.798","162.39","6"," 39"," 105.2"
"30","1:44.429","+ 2:23.954","162.92","6"," 36"," 101.9"
"31","1:59.960","+ 2:45.760","141.83","6"," 100"," 98.6"
"PIT","3 seconds / Medium tyres","",""
"32","1:48.949","+ 2:57.102","156.16","6"," 94"," 95.4"
"33","1:39.461","+ 2:59.128","171.06","6"," 89"," 92.1"
"34","1:40.058","+ 3:02.552","170.04","6"," 84"," 88.8"
"35","1:39.728","+ 3:04.914","170.60","6"," 79"," 85.6"
"36","1:40.035","+ 3:07.900","170.08","6"," 74"," 82.3"
"37","1:40.265","+ 3:11.869","169.69","6"," 69"," 79"
"38","1:40.630","+ 3:16.431","169.07","6"," 65"," 75.8"
"39","1:39.814","+ 3:20.439","170.45","6"," 60"," 72.5"
"40","1:40.472","+ 3:25.500","169.34","6"," 55"," 69.2"
"41","1:40.448","+ 3:30.159","169.38","6"," 51"," 66"
"42","1:40.031","+ 3:34.381","170.08","6"," 47"," 62.7"
"43","1:40.100","+ 3:24.351","169.97","6"," 44"," 59.4"
"44","1:39.922","+ 3:20.318","170.27","6"," 41"," 56.2"
"45","1:39.002","+ 3:25.101","171.85","6"," 38"," 52.9"
"46","1:54.459","+ 3:44.950","148.64","6"," 100"," 49.6"
"PIT","3 seconds / Soft tyres","",""
"47","1:44.284","+ 3:54.993","163.15","6"," 93"," 46.4"
"48","1:35.184","+ 3:56.158","178.74","6"," 86"," 43.1"
"49","1:35.605","+ 3:58.711","177.96","6"," 79"," 39.8"
"50","1:36.050","+ 4:00.613","177.13","6"," 72"," 36.5"
"51","1:36.524","+ 4:03.508","176.26","6"," 66"," 33.3"
"52","1:37.561","+ 4:07.782","174.39","6"," 60"," 30"
"53","1:37.516","+ 4:12.028","174.47","6"," 54"," 26.7"
"54","1:37.794","+ 4:17.313","173.97","6"," 48"," 23.5"
"55","1:37.370","+ 4:21.773","174.73","6"," 43"," 20.2"
"56","1:37.111","+ 4:25.726","175.20","6"," 39"," 16.9"
"57","1:37.310","+ 4:29.721","174.84","6"," 35"," 13.7"
