"Lap","Time","Gap to lead","Average KPH","Pos","Tyre (%)","Fuel (L)"
"START","Super soft tyres","",""
"1","1:51.395","-","152.73","1","-","-"
"2","1:47.644","-","158.05","1","-","-"
"3","1:47.486","-","158.29","1","-","-"
"4","1:47.249","-","158.64","1","-","-"
"5","1:47.388","-","158.43","1","-","-"
"6","1:47.843","-","157.76","1","-","-"
"7","1:47.979","+ 0:00.044","157.56","2","-","-"
"8","2:03.538","+ 0:18.079","137.72","6","-","-"
"PIT","3 seconds / Hard tyres","",""
"9","1:56.936","+ 0:28.479","145.49","6","-","-"
"10","1:46.232","+ 0:30.130","160.16","4","-","-"
"11","1:45.883","+ 0:31.509","160.68","4","-","-"
"12","1:44.367","+ 0:23.787","163.02","4","-","-"
"13","1:45.186","+ 0:24.165","161.75","4","-","-"
"14","1:45.404","+ 0:24.847","161.41","5","-","-"
"15","1:44.680","+ 0:25.032","162.53","5","-","-"
"16","1:45.038","+ 0:25.122","161.98","6","-","-"
"17","1:43.778","+ 0:20.005","163.94","6","-","-"
"18","1:42.911","+ 0:20.829","165.32","6","-","-"
"19","1:43.344","+ 0:22.007","164.63","6","-","-"
"20","1:43.209","+ 0:23.320","164.85","6","-","-"
"21","1:43.379","+ 0:25.490","164.58","6","-","-"
"22","1:42.791","+ 0:12.159","165.52","6","-","-"
"23","1:41.902","+ 0:08.250","166.96","5","-","-"
"24","1:43.318","+ 0:08.845","164.67","6","-","-"
"25","1:42.857","+ 0:11.639","165.41","6","-","-"
"26","1:57.050","+ 0:27.945","145.35","6","-","-"
"PIT","3 seconds / Hard tyres","",""
"27","1:49.934","+ 0:38.065","154.76","6","-","-"
"28","1:39.829","+ 0:39.004","170.43","6","-","-"
"29","1:40.063","+ 0:40.347","170.03","6","-","-"
"30","1:39.710","+ 0:41.389","170.63","4","-","-"
"31","1:39.629","+ 0:42.715","170.77","4","-","-"
"32","1:38.894","+ 0:43.378","172.04","4","-","-"
"33","1:39.230","+ 0:44.225","171.46","5","-","-"
"34","1:39.424","+ 0:45.270","171.12","5","-","-"
"35","1:38.418","+ 0:31.092","172.87","5","-","-"
"36","1:38.039","+ 0:23.185","173.54","5","-","-"
"37","1:38.810","+ 0:25.645","172.19","6","-","-"
"38","1:38.004","+ 0:27.218","173.60","6","-","-"
"39","1:38.138","+ 0:29.084","173.36","6","-","-"
"40","1:37.780","+ 0:31.082","174.00","6","-","-"
"41","1:37.516","+ 0:32.436","174.47","6","-","-"
"42","1:38.049","+ 0:35.045","173.52","6","-","-"
"43","1:51.888","+ 0:51.782","152.06","6","-","-"
"PIT","3 seconds / Soft tyres","",""
"44","1:43.977","+ 1:00.746","163.63","6","-","-"
"45","1:34.799","+ 1:00.389","179.47","6","-","-"
"46","1:35.021","+ 1:00.313","179.05","6","-","-"
"47","1:34.835","+ 0:45.774","179.40","6","-","-"
"48","1:35.392","+ 0:37.931","178.35","6","-","-"
"49","1:34.760","+ 0:39.023","179.54","5","-","-"
"50","1:35.106","+ 0:40.530","178.89","4","-","-"
"51","1:35.402","+ 0:42.007","178.34","4","-","-"
"52","1:35.343","+ 0:43.805","178.45","4","-","-"
"53","1:49.932","+ 1:00.681","154.76","6","-","-"
"PIT","3 seconds / Soft tyres","",""
"54","1:41.775","+ 1:09.814","167.17","6","-","-"
"55","1:33.026","+ 1:09.706","182.89","6","-","-"
"56","1:32.973","+ 1:10.041","183.00","6","-","-"
"57","1:32.995","+ 1:15.357","182.95","6","-","-"
"58","1:32.720","+ 1:15.777","183.49","6","-","-"
"59","1:32.754","+ 1:16.023","183.43","6","-","-"
