"Lap","Time","Gap to lead","Average KPH","Pos","Tyre (%)","Fuel (L)"
"START","Soft tyres","",""
"1","1:51.986","+ 0:01.327","151.93","3","-","-"
"2","1:48.148","+ 0:01.831","157.32","3","-","-"
"3","1:47.373","+ 0:01.717","158.45","3","-","-"
"4","1:47.136","+ 0:01.604","158.80","3","-","-"
"5","1:46.993","+ 0:01.209","159.02","3","-","-"
"6","1:47.283","+ 0:00.649","158.59","3","-","-"
"7","1:47.285","-","158.58","1","-","-"
"8","1:45.502","-","161.26","1","-","-"
"9","2:00.175","+ 0:13.639","141.57","3","-","-"
"PIT","3 seconds / Medium tyres","",""
"10","1:54.310","+ 0:23.368","148.84","3","-","-"
"11","1:43.937","+ 0:22.800","163.69","3","-","-"
"12","1:44.063","+ 0:14.774","163.49","3","-","-"
"13","1:42.914","+ 0:12.879","165.32","2","-","-"
"14","1:43.204","+ 0:11.361","164.85","2","-","-"
"15","1:42.314","+ 0:09.179","166.29","2","-","-"
"16","1:42.443","+ 0:06.674","166.08","2","-","-"
"17","1:42.220","-","166.44","1","-","-"
"18","1:42.087","-","166.66","1","-","-"
"19","1:42.166","-","166.53","1","-","-"
"20","1:41.897","-","166.97","1","-","-"
"21","1:41.209","-","168.10","1","-","-"
"22","1:56.121","-","146.52","1","-","-"
"PIT","3 seconds / Medium tyres","",""
"23","1:49.808","+ 0:03.996","154.94","3","-","-"
"24","1:39.565","+ 0:00.838","170.88","3","-","-"
"25","1:40.278","+ 0:01.054","169.66","2","-","-"
"26","1:40.088","+ 0:00.398","169.99","2","-","-"
"27","1:39.416","-","171.14","1","-","-"
"28","1:38.890","-","172.05","1","-","-"
"29","1:38.719","-","172.34","1","-","-"
"30","1:38.668","-","172.43","1","-","-"
"31","1:38.303","-","173.07","1","-","-"
"32","1:38.231","-","173.20","1","-","-"
"33","1:38.384","-","172.93","1","-","-"
"34","1:38.378","-","172.94","1","-","-"
"35","1:52.596","-","151.10","1","-","-"
"PIT","3 seconds / Medium tyres","",""
"36","1:45.946","-","160.59","1","-","-"
"37","1:36.349","-","176.58","1","-","-"
"38","1:36.431","-","176.43","1","-","-"
"39","1:36.272","-","176.72","1","-","-"
"40","1:35.783","-","177.63","1","-","-"
"41","1:36.162","-","176.93","1","-","-"
"42","1:35.440","-","178.26","1","-","-"
"43","1:35.151","-","178.81","1","-","-"
"44","1:35.013","-","179.07","1","-","-"
"45","1:35.156","-","178.80","1","-","-"
"46","1:35.097","-","178.91","1","-","-"
"47","1:49.374","-","155.55","1","-","-"
"PIT","3 seconds / Medium tyres","",""
"48","1:43.235","-","164.80","1","-","-"
"49","1:33.668","-","181.64","1","-","-"
"50","1:33.599","-","181.77","1","-","-"
"51","1:33.926","-","181.14","1","-","-"
"52","1:33.545","-","181.88","1","-","-"
"53","1:33.056","-","182.83","1","-","-"
"54","1:32.642","-","183.65","1","-","-"
"55","1:33.133","-","182.68","1","-","-"
"56","1:32.638","-","183.66","1","-","-"
"57","1:27.679","-","194.04","1","-","-"
"58","1:32.301","-","184.33","1","-","-"
"59","1:32.507","-","183.92","1","-","-"
